upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P77258,99.22,196.26,120.36,54.61,71.06,76.50,87.39,55.87,60.71,39.86,25.72,17.63,9.12,5.16,104.06,26.28,75.92,88.32,38.25,21.00,53.56,60.32
P23886,76.85,158.55,109.39,51.55,73.68,102.95,102.74,103.21,135.74,114.43,98.80,103.29,35.60,77.21,67.51,137.01,54.11,69.69,69.52,46.63,61.53,110.11
P29018,60.15,90.77,47.70,33.32,32.18,49.12,51.87,71.27,83.17,66.22,45.01,46.33,16.07,30.26,50.58,47.65,26.21,39.28,44.14,19.16,38.39,78.87
P24251,1959.74,3202.49,3471.44,624.83,1273.81,1497.13,1315.54,1288.60,1412.41,1090.56,772.06,521.18,262.80,221.19,2551.11,1676.24,1474.41,1893.53,1439.32,952.27,1344.52,1547.02
P03841,239.97,909.38,1096.17,333.28,699.78,938.31,764.07,577.67,1070.19,1035.50,844.78,502.02,71.43,58.52,103.78,87.75,144.80,142.19,923.18,562.69,581.74,481.05
P16525,18.20,31.92,NA,6.11,6.76,17.28,27.17,4.98,7.45,10.17,8.61,9.36,2.01,5.02,6.84,25.79,19.33,NA,NA,5.28,13.88,NA
P75818,1343.53,1174.32,1816.70,1805.81,2105.29,1918.76,1978.70,1413.27,1968.63,1960.44,1996.22,2132.78,5520.70,4404.28,3545.74,2807.00,3426.84,1852.07,1728.29,1991.20,1343.82,1324.20
P42616,503.41,450.82,NA,177.28,288.87,415.38,235.14,211.20,236.19,380.08,237.00,221.59,968.79,630.24,539.65,417.05,366.73,NA,NA,124.48,320.35,NA
P37005,69.78,99.68,170.42,25.35,46.02,65.79,52.36,26.21,51.38,37.20,34.19,26.00,24.07,17.08,47.07,72.09,65.47,62.07,57.49,41.68,38.32,51.44
P0A6P7,1218.06,1681.25,1734.75,705.68,961.79,1080.77,999.01,949.59,755.75,632.60,575.05,501.93,483.13,513.61,946.87,938.92,931.56,983.06,964.61,997.54,1094.02,1028.54
P0CE60,46.88,133.28,95.43,20.28,62.96,58.73,55.61,65.23,53.46,46.03,33.42,28.13,16.59,13.00,25.84,33.82,25.92,44.19,43.55,43.48,50.56,44.71
Q46927,47.75,140.27,NA,40.36,65.48,63.49,39.03,45.90,29.80,39.03,10.42,25.78,9.47,24.30,139.51,170.47,174.03,NA,NA,24.32,32.06,NA
P27303,44.30,139.24,66.65,8.47,13.35,56.70,11.35,19.86,63.32,39.23,17.68,16.23,23.38,14.92,35.91,29.93,43.25,33.72,10.10,8.65,15.74,26.98
P0AAH8,29.88,63.33,NA,12.26,54.00,25.38,28.61,2.02,12.29,17.42,6.19,5.82,9.21,11.82,105.83,45.95,14.80,NA,NA,13.23,14.72,NA
P75777,81.16,172.60,155.77,48.46,59.30,83.67,59.43,63.21,85.41,77.49,75.87,77.21,75.97,95.45,67.78,91.87,143.70,78.79,64.62,46.92,72.59,100.43
P31455,107.46,63.08,58.16,58.10,77.43,82.62,91.28,61.56,61.88,56.68,52.71,48.66,161.51,93.63,178.59,141.10,273.65,131.44,112.12,101.43,99.52,111.95
P0AE85,327.88,126.23,127.73,494.26,703.40,155.48,740.63,1482.98,98.19,132.00,140.01,128.58,10.63,9.46,66.98,524.33,31.40,174.79,519.43,303.87,404.60,348.18
P05637,57.17,91.91,63.58,50.48,45.20,41.09,40.85,45.39,37.63,39.58,41.70,40.88,17.66,23.16,62.77,59.94,59.85,41.89,40.26,35.94,39.93,30.97
P0AFX9,91.29,99.60,80.04,66.14,76.37,81.29,84.60,89.44,54.33,56.95,59.30,98.88,75.73,51.13,105.07,175.92,136.32,93.42,78.55,137.70,92.62,106.09
P0AFB5,66.07,15.43,22.72,10.44,9.97,16.57,24.36,12.98,20.94,17.94,26.58,33.49,6.96,2.72,15.41,23.20,30.93,18.37,24.61,29.18,17.52,31.29
P0AE70,227.41,195.59,NA,161.30,137.95,208.33,71.79,265.68,102.50,195.65,36.66,169.56,117.71,269.25,86.80,172.68,90.97,NA,NA,71.00,65.46,NA
P46888,260.17,99.03,NA,194.09,152.88,135.50,135.50,559.30,166.77,230.44,318.10,233.95,101.06,216.74,70.01,126.64,175.45,NA,NA,81.70,97.94,NA
P0AAB8,319.94,403.11,292.88,363.86,195.43,457.24,252.89,199.74,224.48,266.22,260.06,299.72,1029.76,1347.66,1181.76,1046.35,1227.69,396.97,280.97,437.95,216.06,277.37
P31802,251.24,815.56,432.84,145.65,271.65,302.20,250.06,216.25,176.52,181.81,151.15,123.99,55.27,35.11,158.70,301.10,183.03,209.57,277.64,213.64,319.11,274.53
P76270,1050.65,1179.88,1210.47,893.65,1047.44,1039.80,1072.38,929.84,1351.79,1158.25,923.72,687.75,763.24,910.23,2126.80,1893.63,1802.30,1601.38,1066.51,1248.21,1177.44,3610.30
P0AAR3,519.14,761.14,660.40,329.98,296.69,643.15,319.14,293.66,531.77,419.24,382.68,321.41,864.57,858.38,1528.71,1056.84,2601.03,897.19,557.24,462.43,501.81,610.85
P21363,309.03,177.30,142.54,390.60,286.90,387.76,260.54,236.11,282.68,303.24,361.62,454.61,163.69,192.45,417.73,367.35,307.12,149.31,409.31,410.38,348.84,169.94
P76235,20.34,28.57,8.02,46.14,41.08,37.41,32.76,14.27,31.09,47.49,76.17,133.98,57.54,68.59,24.96,7.44,60.80,16.18,46.08,56.57,26.91,18.50
P0A8A2,2097.80,4718.39,4987.81,1021.91,1079.77,1448.52,1136.00,1094.27,1096.45,784.42,573.40,376.01,881.13,947.49,2262.75,1609.94,2276.08,1704.72,1067.89,655.62,928.20,1247.38
P76346,430.79,790.02,1016.97,684.48,832.41,582.13,677.80,700.11,876.76,1032.32,1005.92,786.89,92.45,116.76,185.94,268.22,210.76,345.10,1087.96,779.30,1001.17,568.15
P22525,65.20,46.57,NA,37.19,19.63,55.25,42.66,39.17,58.76,46.08,46.44,46.84,104.42,19.25,57.89,56.58,77.50,NA,NA,23.64,24.36,NA
P32157,73.74,67.46,56.85,64.25,61.92,55.35,65.12,48.84,57.03,44.29,48.83,45.15,112.06,109.96,120.63,68.18,83.87,74.21,75.75,102.55,63.45,62.23
P32680,99.76,164.67,151.01,59.57,113.47,96.45,101.55,85.53,84.51,76.34,53.81,53.61,53.48,44.47,128.50,114.42,101.96,116.09,69.78,67.81,61.62,77.69
P76193,516.28,374.51,97.18,288.84,209.31,611.23,246.17,186.61,275.43,253.43,220.20,287.80,1039.18,368.58,946.71,414.73,1099.94,350.13,318.83,361.01,269.69,354.53
P27862,107.75,91.13,NA,42.92,77.49,54.66,48.03,210.12,40.34,57.01,35.43,49.32,24.28,24.51,75.85,82.19,78.96,NA,NA,35.85,47.58,NA
P0AF48,199.84,267.02,NA,154.03,61.77,172.96,119.36,84.54,170.72,90.56,103.68,151.79,107.81,72.61,130.73,166.18,176.20,NA,NA,152.25,107.79,NA
P39411,415.28,443.12,NA,234.87,326.92,403.01,285.67,205.23,277.88,230.20,157.10,137.24,230.64,84.90,286.18,383.60,450.36,NA,NA,214.32,284.49,NA
P36680,294.21,553.77,384.99,183.53,272.63,252.10,268.89,208.35,183.92,166.25,158.11,164.48,166.69,115.23,252.55,393.88,280.91,398.08,265.54,287.18,291.64,386.16
P0A8Y3,130.54,331.36,270.17,212.90,252.93,154.14,171.18,262.91,293.53,379.19,470.71,359.45,71.24,144.78,165.30,209.97,153.78,161.01,237.88,170.79,152.26,100.49
P0AE22,84.33,1679.16,343.82,88.33,118.29,160.16,83.13,95.34,130.64,183.55,195.70,145.84,34.42,41.86,73.66,89.95,61.97,59.49,82.13,69.81,81.28,36.37
P0A6X3,1513.57,2273.33,1815.67,1083.94,1465.80,1464.01,1669.48,1430.93,1301.07,971.65,743.75,695.93,1553.78,1160.20,2304.16,1224.93,1987.48,1591.36,1186.68,1220.94,1626.38,1525.23
P76145,96.56,243.33,138.04,183.47,211.62,130.42,171.39,108.00,159.85,323.65,360.19,350.61,326.09,274.08,178.88,168.44,205.45,99.08,113.79,300.48,130.48,69.78
P0AGG8,371.33,471.78,360.12,223.25,211.84,219.66,239.57,199.03,198.52,149.43,144.59,143.58,152.46,148.84,363.89,461.22,332.26,285.94,212.48,209.70,138.78,213.37
P12994,315.93,179.72,303.40,245.68,271.03,353.38,277.16,261.33,192.60,230.41,246.22,231.48,518.87,502.48,647.33,375.61,561.10,183.03,326.39,411.44,321.54,275.34
P24188,67.24,37.59,189.89,10.10,30.13,20.36,28.02,20.16,17.08,7.21,2.48,1.98,1.30,4.42,18.18,20.98,7.91,21.52,13.27,11.04,41.38,33.07
P76272,10.15,19.64,12.80,13.39,12.09,18.41,10.10,15.07,32.45,33.47,31.22,30.63,6.11,7.09,12.60,8.17,10.69,19.64,15.59,12.11,16.75,19.77
P33030,54.52,91.84,53.58,21.12,24.47,30.81,26.36,23.99,20.62,20.56,10.10,9.46,14.54,7.34,39.68,50.13,34.93,29.62,22.57,16.40,28.39,44.13
P0AD27,24.02,46.33,40.00,27.19,30.81,63.90,36.34,36.25,94.16,95.18,96.24,112.08,21.90,24.67,33.24,39.90,39.36,39.78,49.32,24.48,34.73,54.70
P77625,1219.73,1165.60,1209.88,790.80,793.63,973.41,1106.03,801.23,968.92,819.78,770.71,598.68,480.37,505.43,1003.39,928.97,949.98,943.40,982.75,642.33,550.55,954.06
P42599,186.20,298.63,274.63,237.26,276.25,223.01,249.02,283.94,279.33,305.86,350.04,436.27,172.55,181.38,117.21,149.20,131.71,202.33,275.81,283.82,241.12,163.85
P0AEQ1,148.33,460.11,353.39,2049.73,538.31,514.69,295.17,124.44,592.39,1214.22,1346.11,1091.11,528.70,491.79,104.43,92.08,103.02,60.49,309.55,443.65,255.87,128.22
P0A756,114.87,105.25,NA,64.89,78.23,106.44,98.59,62.43,78.13,182.29,37.33,51.82,21.07,24.35,160.90,86.14,165.91,NA,NA,43.90,59.96,NA
P76535,38.96,416.76,304.88,66.60,132.06,94.29,107.41,68.06,102.38,132.32,90.10,90.45,37.70,20.76,40.56,26.46,35.61,47.22,95.92,64.04,92.04,60.43
P0AFB1,299.36,265.15,298.42,247.12,257.76,282.17,239.43,277.13,242.69,224.97,195.67,160.13,182.63,192.56,221.18,167.13,213.14,238.04,258.74,224.66,289.04,235.70
P77756,306.48,551.35,494.53,192.92,171.41,222.90,227.50,288.23,212.11,157.88,142.36,149.10,119.91,94.71,350.65,205.13,284.99,235.06,192.86,132.48,171.02,206.02
P31473,32.87,58.85,35.57,38.44,36.97,44.50,42.87,38.54,59.00,47.80,59.17,47.21,52.34,35.48,31.41,47.95,57.38,26.91,37.89,23.45,32.96,45.88
P75849,842.02,731.91,460.70,674.90,691.78,599.75,614.74,608.36,473.71,614.27,553.39,526.78,136.73,197.37,452.31,580.43,556.45,595.45,514.26,376.06,451.90,770.93
P0AB28,1172.64,2267.87,1659.08,459.73,720.29,886.82,843.26,638.41,728.18,545.98,489.19,345.00,471.63,427.37,1244.47,1166.69,1041.60,960.88,683.75,428.61,792.96,961.34
P76049,47.97,41.63,NA,10.04,50.63,34.36,39.91,14.51,24.32,52.34,33.53,65.13,31.42,31.59,14.58,47.99,24.49,NA,NA,24.96,31.67,NA
P0A8D6,68.84,73.15,66.50,103.35,86.20,108.69,68.00,59.02,109.81,103.45,104.89,104.78,221.99,189.95,195.35,67.39,225.84,88.11,53.62,126.82,50.53,55.36
P77475,159.46,344.55,265.65,52.59,117.99,73.83,68.72,111.90,32.45,20.33,8.26,10.12,31.92,4.25,19.33,71.44,31.38,23.56,26.14,14.03,16.67,18.52
P0AF67,914.24,926.14,878.54,652.34,738.19,758.80,888.28,777.99,699.65,591.67,621.44,526.11,542.97,297.60,710.00,1506.86,1066.17,793.91,720.24,767.77,705.79,899.43
P77580,256.29,200.77,NA,77.08,107.32,135.72,96.36,81.88,162.00,188.55,88.68,81.91,34.88,28.34,210.98,189.42,200.54,NA,NA,57.19,136.22,NA
P76004,102.96,101.03,122.64,126.00,147.79,123.04,180.46,135.56,140.78,174.59,220.85,249.04,153.82,118.81,332.56,188.11,260.32,215.69,155.52,357.41,169.47,162.41
P16869,18.62,13.32,18.22,16.15,12.25,18.80,11.31,11.95,10.38,10.29,6.44,6.19,85.88,87.50,156.13,12.24,33.40,66.90,9.82,11.87,9.28,9.78
P0AAH0,113.11,183.27,161.16,42.22,82.85,78.16,117.67,118.75,97.34,66.07,52.67,51.03,15.67,5.35,26.95,70.17,41.10,107.64,83.57,48.48,78.12,79.01
P39830,86.32,194.97,127.79,59.04,101.70,107.00,122.84,82.66,174.49,138.64,115.32,106.30,59.20,52.19,72.87,86.59,54.33,100.21,109.58,78.97,83.24,114.47
P37617,11.58,77.24,27.81,4.45,4.08,14.23,6.46,9.70,21.80,10.27,11.41,8.87,3.46,1.40,17.12,20.20,23.78,11.92,9.65,4.88,2.97,14.77
P0AC62,4264.82,8387.49,8390.55,4705.67,5916.75,5765.23,6170.10,5324.02,6377.46,6220.46,5979.27,5877.35,5421.88,4895.19,9896.60,6971.81,7719.70,6500.76,4797.39,7850.48,4568.59,5557.78
P0C054,363.42,2638.99,1367.93,235.20,363.22,376.26,362.38,205.90,398.81,347.96,186.03,113.02,131.88,115.80,254.63,626.93,258.54,312.18,322.00,168.65,380.44,400.05
P0A744,687.25,730.27,508.97,533.46,572.78,681.82,691.66,655.37,400.14,425.39,513.56,441.84,746.86,704.40,1236.10,825.64,1399.69,713.89,679.81,823.45,495.98,646.41
P0A7A5,187.80,254.62,229.01,148.99,181.11,183.73,183.83,195.99,150.95,140.41,140.65,146.58,153.76,130.03,249.10,536.39,268.66,208.10,227.84,231.90,246.69,197.83
P0A9L5,1087.64,1975.75,2513.28,912.15,1216.14,872.36,1305.10,1019.72,1156.59,949.37,907.54,664.46,205.19,156.72,1206.98,761.94,978.63,1373.00,938.28,1225.99,1210.34,1512.40
P0A832,330.40,603.29,479.29,206.89,268.10,392.88,343.23,322.83,381.07,277.54,252.12,225.03,249.95,333.25,355.36,558.47,330.92,342.71,267.15,217.81,259.31,389.79
P0AEE3,73.69,43.60,45.28,72.82,62.17,63.36,76.86,88.94,119.44,99.04,94.22,87.67,43.86,46.94,38.51,113.95,68.53,74.94,77.63,52.85,68.45,97.10
P0AC69,6421.41,6032.32,6059.70,2828.53,3480.42,4494.28,4245.14,3284.50,4503.65,3171.33,2810.28,2276.61,975.67,909.84,4481.50,7715.03,5046.99,5360.05,4286.73,5100.15,4255.83,4873.82
P75867,38.55,105.54,51.11,32.45,36.55,41.76,38.29,35.74,42.37,31.55,31.05,30.55,35.30,35.62,38.65,39.33,43.58,43.44,29.90,28.56,30.91,42.11
P64554,192.38,619.71,270.12,94.69,115.52,107.15,150.32,118.56,118.30,87.74,72.36,61.04,35.70,43.68,187.69,159.74,196.98,157.70,129.04,89.71,119.02,200.84
P28249,24.52,41.19,28.03,31.88,32.40,39.11,33.40,38.70,47.15,42.70,52.42,47.58,13.42,13.55,10.93,23.00,23.25,27.11,31.66,26.33,34.23,37.39
P0AD68,11.48,26.25,21.57,14.86,12.11,18.55,13.73,24.94,15.98,10.02,9.28,4.62,0.26,1.26,7.40,16.20,12.22,16.56,20.38,8.93,14.68,14.13
P61316,716.14,1385.05,826.87,642.68,567.58,753.97,686.74,663.24,434.00,327.39,280.68,242.39,619.31,523.18,870.34,603.72,830.05,621.71,445.39,381.94,353.08,514.58
P0A722,974.32,1486.17,1210.85,637.41,858.81,942.95,1004.51,1010.50,828.67,765.57,649.12,617.40,405.69,385.17,778.32,887.92,648.74,1022.99,993.18,839.60,978.49,1112.08
P10441,30.94,64.21,55.12,23.18,28.35,29.80,30.49,33.33,29.34,26.36,29.64,30.64,19.50,10.84,20.38,21.26,19.01,25.23,18.27,27.88,19.51,29.78
P37773,353.28,705.25,509.89,212.55,221.13,248.72,283.79,270.84,254.88,186.20,199.65,165.49,109.44,141.64,261.73,324.96,191.85,334.14,248.34,192.67,256.25,247.83
P17443,92.03,133.12,98.30,74.02,60.61,76.04,90.97,109.25,88.51,61.94,47.47,52.29,58.53,48.17,70.41,172.36,98.92,107.37,78.37,70.61,97.35,116.04
P0A927,1328.87,9241.68,1488.42,627.92,864.22,1177.82,751.66,725.12,1174.75,984.38,942.37,774.23,645.46,611.83,1097.45,1167.27,1262.50,1044.26,1064.23,497.46,1060.03,1255.57
P37751,61.45,178.15,98.28,41.68,57.32,64.62,60.43,50.25,97.84,79.70,53.58,42.51,29.64,25.88,22.76,31.05,25.16,43.11,36.37,25.86,31.79,40.02
P45395,83.91,158.74,131.94,64.61,75.50,64.69,92.79,90.30,104.16,77.56,66.73,51.60,7.25,10.67,35.10,110.34,93.41,60.47,62.72,44.51,58.30,58.80
P75830,32.29,25.87,56.06,25.28,35.31,54.21,44.11,45.61,67.34,63.59,84.57,80.45,72.50,32.64,32.25,67.76,32.99,37.14,54.25,50.81,37.17,56.37
P76506,343.61,717.32,504.10,157.34,243.49,294.35,245.68,205.54,208.87,182.25,162.46,170.19,208.84,206.02,391.96,271.60,297.66,253.01,196.11,173.66,216.19,235.25
P33362,118.33,76.26,97.53,95.96,154.85,158.76,136.17,106.41,99.87,130.74,158.69,162.30,159.92,133.75,299.34,153.69,238.82,124.07,219.84,285.21,187.61,140.70
P24173,61.99,92.04,NA,24.16,32.07,46.40,35.72,33.23,25.03,26.87,3.77,11.08,1.17,7.66,63.15,63.00,55.49,NA,NA,9.20,46.27,NA
P27830,41.21,142.80,93.53,14.61,19.03,21.54,28.93,21.68,14.60,13.03,5.13,4.09,7.66,12.05,19.92,22.06,22.30,23.87,11.76,5.13,21.87,24.45
P0A6U5,409.05,716.44,555.21,269.39,226.60,272.64,257.99,212.50,264.87,204.31,158.84,125.61,216.46,201.29,428.82,479.02,336.63,387.66,232.17,182.58,237.65,320.86
P0AG00,139.75,299.55,170.94,111.52,114.49,131.86,116.81,121.05,150.08,124.56,97.46,109.68,40.62,63.18,101.85,113.41,128.62,139.56,97.96,64.00,122.50,127.67
P15038,38.45,61.41,42.61,33.99,32.07,39.60,36.57,36.67,58.88,50.22,38.68,37.48,25.03,31.05,29.91,52.53,51.97,44.52,31.39,19.52,34.01,47.26
P0ACF0,132931.94,278632.63,183555.18,73950.95,101839.57,108914.15,135752.20,125620.54,95458.16,86223.47,71745.87,65847.52,72526.48,75795.13,130782.24,117478.86,123189.95,134242.99,123301.37,91754.01,121273.47,118655.59
P12295,113.04,193.55,132.70,65.58,69.28,73.60,64.45,59.64,60.37,63.98,50.11,33.84,33.50,27.72,117.15,92.58,145.61,97.36,73.65,46.32,59.72,80.74
P32664,146.56,133.14,146.99,76.77,101.71,104.38,109.14,77.55,82.71,70.97,57.90,45.67,90.89,81.69,155.10,176.96,216.03,130.33,92.93,102.12,85.27,118.38
P20083,39.38,99.53,53.39,20.75,31.10,34.51,37.77,28.57,41.37,30.75,23.56,21.66,34.87,15.28,49.00,56.05,40.10,31.10,30.31,15.34,23.52,39.59
P04994,34.61,34.62,40.33,36.13,37.04,47.29,37.77,34.69,67.16,58.79,51.92,51.84,46.56,33.60,66.19,72.32,67.02,56.84,40.06,33.77,58.98,69.50
P0ACP5,577.26,971.84,855.80,460.68,484.40,546.93,612.09,421.64,427.37,362.58,347.04,399.93,1207.37,599.40,863.57,995.86,651.64,854.61,524.78,580.05,525.94,625.45
P77569,11.39,127.89,56.07,88.15,91.83,49.91,25.47,58.99,69.84,109.45,88.29,90.77,12.37,5.93,22.39,13.02,18.42,30.02,124.30,72.86,98.01,45.69
P0AFX4,238.86,370.22,291.50,284.93,411.30,385.86,393.62,442.50,363.47,464.68,492.09,344.31,100.19,69.26,308.22,385.55,318.55,238.87,464.47,462.71,450.07,298.67
P0ACN4,205.51,178.51,219.66,113.13,130.06,158.72,153.55,118.07,133.33,101.26,88.67,68.50,102.88,92.74,184.92,377.82,226.41,257.67,128.43,125.42,153.34,193.40
P24242,16.62,44.33,NA,13.12,44.31,33.04,29.99,23.57,14.07,5.86,8.43,6.12,3.50,3.86,27.76,27.23,22.64,NA,NA,13.95,20.29,NA
P0A8R9,72.99,180.42,NA,48.61,156.41,81.59,65.04,49.87,46.88,31.37,177.85,13.77,8.16,8.76,116.91,100.98,90.56,NA,NA,24.43,62.35,NA
P0AGB6,388.79,564.59,326.10,170.08,252.40,313.83,272.64,363.30,224.91,168.12,164.40,154.14,184.39,210.67,283.01,496.31,394.50,349.15,226.54,239.19,258.93,290.24
P23917,200.69,267.80,374.35,225.95,268.90,253.40,321.79,217.94,199.71,233.58,247.28,291.44,176.93,151.19,206.57,199.23,261.01,196.59,261.88,256.48,262.58,197.90
P0A6K3,886.00,1541.76,959.79,295.25,330.24,561.09,336.93,309.17,226.05,166.43,125.47,126.34,397.22,397.71,681.48,776.95,575.72,593.92,624.74,316.99,453.79,528.14
P0A8T1,201.36,448.56,455.12,119.50,118.18,160.11,124.12,100.99,113.54,83.23,57.28,67.03,130.43,234.58,318.44,249.94,455.31,638.97,108.42,131.92,124.62,138.85
P0A7F9,415.50,893.32,416.01,173.51,204.31,196.16,232.82,137.05,187.93,148.31,111.45,96.09,105.77,104.78,379.94,374.28,287.34,334.25,203.11,163.71,229.52,289.37
P0ADY7,33115.17,98439.24,55900.66,16059.22,22880.15,28384.41,30151.70,21429.15,35189.91,20240.63,17245.04,15616.71,11505.89,13068.48,21528.71,31693.55,29183.22,35077.75,25872.29,17506.89,26479.71,44618.61
P0C018,6145.81,13820.84,9135.74,2598.85,4078.05,4610.63,4899.93,3452.31,4045.03,2872.26,2217.56,2036.03,3533.63,2584.27,7465.05,8022.68,6006.31,6189.33,3957.60,2912.01,4143.84,5513.90
P0AG48,7357.86,19424.25,11680.70,2979.08,4345.11,5726.09,6254.34,3970.61,7579.87,4443.46,3826.53,3534.26,4155.79,3364.59,4332.56,8179.84,6255.93,8109.83,5335.21,4313.50,6327.76,9537.99
P0A7R9,10768.81,24642.48,19504.36,4946.78,7687.74,9319.22,9147.24,7876.84,8789.56,6069.69,4184.88,3674.18,4173.66,4768.58,10975.49,15121.76,12361.85,9932.62,7555.72,5181.49,8122.50,11421.26
P0A7S3,2321.81,7472.99,6905.57,2053.53,2793.07,2484.43,3480.94,2341.59,7217.60,4276.90,3867.62,3250.02,2208.13,2148.14,4434.17,5608.73,4066.21,4146.32,1942.31,3054.36,2723.95,5136.57
P0A7T3,65081.70,136596.01,98584.98,27682.00,40731.07,53818.95,51815.27,34970.85,38457.67,24935.35,20467.19,16640.95,39056.77,28165.46,71837.70,71626.31,69710.77,69775.47,49472.64,36144.04,51980.21,72099.66
P0A7U7,28842.62,74646.08,44450.95,10865.72,18262.48,19944.94,21077.02,15928.72,19043.99,12091.67,9291.31,8041.77,8935.45,8750.99,26898.02,30295.02,25222.32,22164.04,17347.71,11077.27,18125.99,26995.48
P39199,1404.94,1399.75,1059.91,716.41,883.03,957.00,948.43,1145.76,867.33,807.47,735.37,609.75,423.05,379.02,1015.07,712.09,886.10,950.61,874.03,624.02,614.93,865.15
P0AD49,2153.55,14293.36,3810.11,2222.69,2216.64,2417.51,3724.97,2510.52,2068.16,1730.60,1504.40,1295.94,2087.69,2754.53,1258.87,4186.07,982.26,2630.82,4017.00,2173.69,3410.54,3238.96
P06992,252.64,450.81,318.63,110.86,132.16,118.29,171.55,139.52,103.54,77.87,61.04,66.81,103.61,88.24,156.15,244.29,176.37,153.68,118.33,73.87,146.66,178.34
P25397,224.41,235.71,227.63,173.34,163.17,184.94,161.84,146.30,165.95,157.39,125.94,95.50,561.97,424.52,865.12,317.12,341.91,282.41,163.86,147.07,154.19,199.82
P45748,414.08,727.21,601.59,347.25,323.86,415.91,346.55,260.49,292.48,223.70,166.88,175.81,250.76,250.84,503.25,336.57,573.74,496.35,324.22,305.96,368.04,420.97
P62615,185.95,160.87,191.04,158.06,188.63,173.59,219.91,189.71,149.91,128.10,113.00,92.63,82.75,92.00,151.00,220.90,214.89,79.80,156.05,119.97,169.95,159.18
P62617,1486.01,4892.53,4746.35,1169.21,1228.24,1195.87,1549.34,1226.53,1458.39,1219.53,1086.03,991.26,689.70,822.14,1747.78,1437.78,1597.45,1641.61,1652.82,1132.02,1692.76,1600.35
P13000,440.27,127.22,459.79,315.01,255.58,213.16,201.53,209.20,304.97,228.64,170.33,118.54,222.21,254.30,617.55,606.31,426.90,278.56,160.28,167.72,164.46,211.60
P12998,72.12,98.05,137.71,98.04,78.77,81.36,83.93,132.70,71.92,57.03,45.78,35.38,38.70,49.90,126.27,226.93,74.75,128.55,89.47,65.90,75.35,111.52
P0ABQ4,294.80,570.71,882.21,176.96,315.61,244.23,297.33,283.74,194.36,178.26,154.81,170.33,286.52,251.86,222.93,231.20,248.91,218.68,231.66,174.19,230.42,264.10
P0AC19,1181.89,1899.07,1789.39,640.02,1004.59,1177.13,1204.30,839.65,1127.18,855.06,695.30,526.13,1336.59,583.27,1540.79,2029.09,1521.46,1513.89,1002.50,669.46,990.62,1374.62
P32131,77.28,138.67,83.29,54.51,70.20,72.57,75.44,76.09,55.06,54.00,43.31,41.51,47.67,23.47,59.07,82.51,77.45,72.53,81.27,69.75,73.86,93.44
P10902,29.71,9.03,70.44,9.65,7.33,18.07,20.62,27.96,25.09,17.48,11.14,8.46,15.42,14.50,29.05,35.53,40.55,24.09,21.94,9.79,17.02,36.61
P06611,62.84,105.64,NA,47.07,79.86,69.04,166.64,45.97,67.99,60.86,67.72,84.18,12.91,18.78,25.43,162.08,107.99,NA,NA,48.40,119.48,NA
P30749,458.16,485.34,373.91,269.25,235.30,301.37,308.13,300.10,210.54,123.13,107.53,98.40,444.60,411.29,1006.66,821.62,765.73,384.92,332.77,219.46,205.11,297.73
P0C0U4,49.50,91.92,NA,22.51,45.21,54.29,73.67,43.15,27.08,59.43,11.31,70.68,3.49,11.26,41.74,41.26,29.90,NA,NA,16.84,47.20,NA
P39265,18.89,172.79,199.42,19.25,68.08,88.20,39.54,46.62,48.37,58.89,62.27,73.36,5.58,5.12,13.34,6.62,17.91,5.41,75.95,39.00,23.64,15.98
P04982,177.06,700.55,354.10,576.96,685.25,374.27,436.04,598.96,625.55,820.66,1139.08,1294.84,323.49,260.61,211.44,375.86,190.70,213.30,618.59,1426.34,670.27,372.15
P0AG07,524.08,557.26,NA,147.25,232.39,395.26,243.77,260.03,181.04,106.96,72.70,68.18,49.72,67.21,246.49,455.64,322.33,NA,NA,132.27,257.50,NA
P37643,467.37,91.53,114.18,106.43,317.87,508.40,446.86,182.90,439.95,363.89,329.59,177.52,72.81,35.10,204.71,583.14,145.97,284.61,342.93,194.76,362.13,654.46
P77269,24.01,3.61,NA,4.23,10.93,14.68,7.11,5.82,10.01,124.45,7.31,72.44,11.55,3.90,5.83,31.75,16.50,NA,NA,12.12,8.29,NA
P28903,30.12,52.44,29.46,31.51,37.02,27.17,47.61,26.22,63.90,63.40,48.37,41.43,3.26,7.06,38.99,37.59,9.29,25.79,34.13,27.09,21.57,19.21
