upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P18335,3919.17,517.46,582.08,1548.93,1776.49,2608.69,2285.72,2481.99,2759.82,2304.21,2646.01,2661.42,1133.16,1287.89,2197.80,3405.55,3337.20,2084.55,1992.22,2884.09,2023.28,2927.64
P0A6A6,2763.48,559.32,714.46,3551.49,2940.34,3601.79,2919.72,2110.63,2186.31,3097.70,3089.63,3612.23,227.68,169.80,1612.46,1203.62,1110.48,2281.27,2072.99,2278.63,2802.82,2576.11
P0A879,5376.78,750.31,856.23,2212.93,2116.85,3410.73,4071.27,4076.62,3153.65,2758.92,2237.05,1657.79,1140.48,1220.28,3994.08,4650.90,3340.37,3844.96,3915.55,2646.25,3105.05,5134.70
P33195,337.01,1070.70,892.29,211.15,320.49,303.06,357.02,216.01,446.32,236.27,229.24,196.07,148.72,153.21,229.68,390.47,322.48,333.62,370.81,220.90,413.48,500.06
P00562,343.35,228.34,169.96,181.62,127.91,192.91,213.70,171.08,326.14,170.83,180.38,161.53,105.96,94.63,218.51,474.35,353.99,264.71,217.91,164.77,176.57,389.93
P37902,4936.24,3664.46,3587.70,4576.96,7005.17,5537.84,5920.28,5735.40,4916.06,4861.97,4787.69,4218.02,5315.71,5178.83,5782.66,4444.22,7464.59,3827.60,6017.37,5282.09,5177.80,4554.27
P0A9X4,3277.03,5376.45,4651.11,2215.70,3072.68,2833.87,3507.47,3181.89,3401.93,2557.02,2161.47,2054.72,1802.46,1744.92,2262.55,3420.80,3214.42,3109.55,2295.44,2645.88,3009.16,3645.57
P06715,985.83,1397.71,1585.47,765.36,989.55,1220.72,996.47,968.96,944.46,854.28,774.96,673.90,835.93,829.77,1038.36,1166.09,1201.44,1234.72,1144.41,970.37,1068.90,1133.65
P31979,393.41,2075.17,1603.15,510.04,791.76,799.31,858.88,652.39,942.01,931.06,991.31,845.39,76.52,79.73,151.64,290.63,408.09,462.63,762.82,585.77,808.01,790.62
P67910,2898.10,4708.04,3874.36,2285.74,2384.36,2969.67,2506.95,2274.10,2017.54,1608.40,1545.27,1459.94,2174.80,2469.07,3584.35,2810.07,3760.98,2945.24,2130.74,2401.07,2363.20,2670.31
P0AGD7,925.06,1665.37,1029.79,468.56,616.86,562.60,712.48,621.91,736.06,523.44,443.41,438.22,290.35,350.29,654.16,851.95,698.92,766.20,678.34,479.76,520.91,820.60
P0AG90,429.88,879.02,623.31,299.64,376.12,461.57,422.11,485.99,538.49,466.81,397.17,385.11,243.20,242.29,317.68,595.31,441.24,478.78,471.85,307.11,470.48,617.14
P76116,3465.88,1954.13,5201.34,1708.30,2750.14,2936.24,2997.77,3230.55,2162.51,1503.12,938.02,636.74,6152.73,6004.14,13166.62,4097.13,5043.34,7951.96,2858.22,1512.46,3206.33,4092.16
P16700,3913.86,803.59,2018.67,2679.86,3379.72,2737.03,3187.15,3430.33,2239.02,1954.24,1547.98,1446.19,1990.24,1579.05,2616.41,3212.95,3877.22,2120.66,3103.58,2463.55,3109.67,3166.01
P60785,747.92,1578.83,1162.77,349.29,567.12,738.20,655.86,966.43,897.90,761.24,619.39,612.02,291.59,278.84,415.30,856.37,612.67,675.52,692.63,491.77,565.78,935.02
P06996,33620.54,73853.76,22076.50,42037.19,31350.38,16208.02,26933.39,42652.06,13184.73,13997.26,18369.37,23417.75,25430.95,25705.75,42507.55,48131.68,72556.14,32797.04,25130.58,31858.93,26711.20,29957.36
P0A8J8,496.86,938.17,608.06,348.84,383.31,437.13,411.99,415.23,535.19,446.62,399.05,369.44,196.97,190.47,408.62,503.51,505.19,573.48,373.57,351.53,412.34,569.94
P46837,169.47,328.97,259.34,104.45,127.27,150.27,134.99,142.87,209.11,164.97,113.32,92.31,62.93,74.20,163.75,312.03,201.48,219.41,156.50,92.02,163.88,247.07
P60240,83.97,539.86,185.29,65.25,61.55,100.16,73.88,53.78,105.67,85.25,75.52,88.17,79.92,79.16,55.67,101.40,103.71,86.40,75.62,46.62,60.54,95.84
P0A7V3,15952.19,46854.44,33769.76,7221.71,11330.48,15672.96,13263.42,12017.91,20465.93,13375.31,10522.42,8753.54,8495.37,8336.41,10496.76,20333.48,13781.27,17545.36,13133.07,7081.62,13501.40,23409.32
